label,required,canonical,1999,2001,2003,2005,2007,2009,2011,2013,2015,2017,2019,2021,2023
H10D2 WTR NEED EQUIP FOR BED/CHAIR-SP,0,var_3003,,,,,,,,,ER63578,ER69654,ER75662,ER80881,ER84856
H10D2 WTR NEED EQUIP FOR BED/CHAIR-WF,0,var_3004,,,,,,ER45351,ER50710,ER56456,,,,,
H10E1 WTR SOMEONE HELPS WALK-HD,0,var_3005,,,,,,ER44256,ER49594,ER55342,ER62464,,,,
H10E1 WTR SOMEONE HELPS WALK-RP,0,var_3006,,,,,,,,,,ER68529,ER74537,ER80685,ER84657
H10E1 WTR SOMEONE HELPS WALK-SP,0,var_3007,,,,,,,,,ER63580,ER69656,ER75664,ER80883,ER84858
H10E1 WTR SOMEONE HELPS WALK-WF,0,var_3008,,,,,,ER45353,ER50712,ER56458,,,,,
H10E2 WTR NEED EQUIP TO WALK-HD,0,var_3009,,,,,,ER44257,ER49595,ER55343,ER62465,,,,
H10E2 WTR NEED EQUIP TO WALK-RP,0,var_3010,,,,,,,,,,ER68530,ER74538,ER80686,ER84658
H10E2 WTR NEED EQUIP TO WALK-SP,0,var_3011,,,,,,,,,ER63581,ER69657,ER75665,ER80884,ER84859
H10E2 WTR NEED EQUIP TO WALK-WF,0,var_3012,,,,,,ER45354,ER50713,ER56459,,,,,
H10F1 WTR SOMEONE HELPS GET OUT-HD,0,var_3013,,,,,,ER44259,ER49597,ER55345,ER62467,,,,
H10F1 WTR SOMEONE HELPS GET OUT-RP,0,var_3014,,,,,,,,,,ER68532,ER74540,ER80688,ER84660
H10F1 WTR SOMEONE HELPS GET OUT-SP,0,var_3015,,,,,,,,,ER63583,ER69659,ER75667,ER80886,ER84861
H10F1 WTR SOMEONE HELPS GET OUT-WF,0,var_3016,,,,,,ER45356,ER50715,ER56461,,,,,
H10F2 WTR NEED EQUIP TO GO OUTSIDE-HD,0,var_3017,,,,,,ER44260,ER49598,ER55346,ER62468,,,,
H10F2 WTR NEED EQUIP TO GO OUTSIDE-RP,0,var_3018,,,,,,,,,,ER68533,ER74541,ER80689,ER84661
H10F2 WTR NEED EQUIP TO GO OUTSIDE-SP,0,var_3019,,,,,,,,,ER63584,ER69660,ER75668,ER80887,ER84862
H10F2 WTR NEED EQUIP TO GO OUTSIDE-WF,0,var_3020,,,,,,ER45357,ER50716,ER56462,,,,,
H10G1 WTR SOMEONE HELPS TOILET-HD,0,var_3021,,,,,,ER44262,ER49600,ER55348,ER62470,,,,
H10G1 WTR SOMEONE HELPS TOILET-RP,0,var_3022,,,,,,,,,,ER68535,ER74543,ER80691,ER84663
H10G1 WTR SOMEONE HELPS TOILET-SP,0,var_3023,,,,,,,,,ER63586,ER69662,ER75670,ER80889,ER84864
H10G1 WTR SOMEONE HELPS TOILET-WF,0,var_3024,,,,,,ER45359,ER50718,ER56464,,,,,
H10G2 WTR NEED EQUIP TO USE TOILET-HD,0,var_3025,,,,,,ER44263,ER49601,ER55349,ER62471,,,,
H10G2 WTR NEED EQUIP TO USE TOILET-RP,0,var_3026,,,,,,,,,,ER68536,ER74544,ER80692,ER84664
H10G2 WTR NEED EQUIP TO USE TOILET-SP,0,var_3027,,,,,,,,,ER63587,ER69663,ER75671,ER80890,ER84865
H10G2 WTR NEED EQUIP TO USE TOILET-WF,0,var_3028,,,,,,ER45360,ER50719,ER56465,,,,,
H11A WTR DIFFICULT PREPARE MEALS-HD,0,var_3029,,,,,,ER44264,,ER55350,ER62472,,,,
H11A WTR DIFFICULT PREPARE MEALS-RP,0,var_3030,,,,,,,,,,ER68537,ER74545,ER80693,ER84665
H11A WTR DIFFICULT PREPARE MEALS-SP,0,var_3031,,,,,,,,,ER63588,ER69664,ER75672,ER80891,ER84866
H11A WTR DIFFICULT PREPARE MEALS-WF,0,var_3032,,,,,,ER45361,,ER56466,,,,,
H11B HEALTH/PHYSICAL PROBLEM?-HD,0,var_3033,,,,,,ER44265,,ER55351,ER62473,,,,
H11B HEALTH/PHYSICAL PROBLEM?-RP,0,var_3034,,,,,,,,,,ER68538,ER74546,ER80694,ER84666
H11B HEALTH/PHYSICAL PROBLEM?-SP,0,var_3035,,,,,,,,,ER63589,ER69665,ER75673,ER80892,ER84867
H11B HEALTH/PHYSICAL PROBLEM?-WF,0,var_3036,,,,,,ER45362,,ER56467,,,,,
H11C WTR DIFFICULT SHOPPING-HD,0,var_3037,,,,,,ER44266,,ER55352,ER62474,,,,
H11C WTR DIFFICULT SHOPPING-RP,0,var_3038,,,,,,,,,,ER68539,ER74547,ER80695,ER84667
H11C WTR DIFFICULT SHOPPING-SP,0,var_3039,,,,,,,,,ER63590,ER69666,ER75674,ER80893,ER84868
H11C WTR DIFFICULT SHOPPING-WF,0,var_3040,,,,,,ER45363,,ER56468,,,,,
H11D HEALTH/PHYSICAL PROBLEM?-HD,0,var_3041,,,,,,ER44267,,ER55353,ER62475,,,,
H11D HEALTH/PHYSICAL PROBLEM?-RP,0,var_3042,,,,,,,,,,ER68540,ER74548,ER80696,ER84668
H11D HEALTH/PHYSICAL PROBLEM?-SP,0,var_3043,,,,,,,,,ER63591,ER69667,ER75675,ER80894,ER84869
H11D HEALTH/PHYSICAL PROBLEM?-WF,0,var_3044,,,,,,ER45364,,ER56469,,,,,
H11E WTR DIFFICULT MANAGE MONEY-HD,0,var_3045,,,,,,ER44268,,ER55354,ER62476,,,,
H11E WTR DIFFICULT MANAGE MONEY-RP,0,var_3046,,,,,,,,,,ER68541,ER74549,ER80697,ER84669
H11E WTR DIFFICULT MANAGE MONEY-SP,0,var_3047,,,,,,,,,ER63592,ER69668,ER75676,ER80895,ER84870
H11E WTR DIFFICULT MANAGE MONEY-WF,0,var_3048,,,,,,ER45365,,ER56470,,,,,
H11F HEALTH/PHYSICAL PROBLEM?-HD,0,var_3049,,,,,,ER44269,,ER55355,ER62477,,,,
H11F HEALTH/PHYSICAL PROBLEM?-RP,0,var_3050,,,,,,,,,,ER68542,ER74550,ER80698,ER84670
H11F HEALTH/PHYSICAL PROBLEM?-SP,0,var_3051,,,,,,,,,ER63593,ER69669,ER75677,ER80896,ER84871
H11F HEALTH/PHYSICAL PROBLEM?-WF,0,var_3052,,,,,,ER45366,,ER56471,,,,,
H11G WTR TELEPHONE DIFFICULT-HD,0,var_3053,,,,,,ER44270,,ER55356,ER62478,,,,
H11G WTR TELEPHONE DIFFICULT-RP,0,var_3054,,,,,,,,,,ER68543,ER74551,ER80699,ER84671
H11G WTR TELEPHONE DIFFICULT-SP,0,var_3055,,,,,,,,,ER63594,ER69670,ER75678,ER80897,ER84872
H11G WTR TELEPHONE DIFFICULT-WF,0,var_3056,,,,,,ER45367,,ER56472,,,,,
H11H HEALTH/PHYSICAL PROBLEM?-HD,0,var_3057,,,,,,ER44271,,ER55357,ER62479,,,,
H11H HEALTH/PHYSICAL PROBLEM?-RP,0,var_3058,,,,,,,,,,ER68544,ER74552,ER80700,ER84672
H11H HEALTH/PHYSICAL PROBLEM?-SP,0,var_3059,,,,,,,,,ER63595,ER69671,ER75679,ER80898,ER84873
H11H HEALTH/PHYSICAL PROBLEM?-WF,0,var_3060,,,,,,ER45368,,ER56473,,,,,
H11J WTR HEAVY HSWRK DIFFICULT-HD,0,var_3061,,,,,,ER44272,,ER55358,ER62480,,,,
H11J WTR HEAVY HSWRK DIFFICULT-RP,0,var_3062,,,,,,,,,,ER68545,ER74553,ER80701,ER84673
H11J WTR HEAVY HSWRK DIFFICULT-SP,0,var_3063,,,,,,,,,ER63596,ER69672,ER75680,ER80899,ER84874
H11J WTR HEAVY HSWRK DIFFICULT-WF,0,var_3064,,,,,,ER45369,,ER56474,,,,,
H11K HEALTH/PHYSICAL PROBLEM?-HD,0,var_3065,,,,,,ER44273,,ER55359,ER62481,,,,
H11K HEALTH/PHYSICAL PROBLEM?-RP,0,var_3066,,,,,,,,,,ER68546,ER74554,ER80702,ER84674
H11K HEALTH/PHYSICAL PROBLEM?-SP,0,var_3067,,,,,,,,,ER63597,ER69673,ER75681,ER80900,ER84875
H11K HEALTH/PHYSICAL PROBLEM?-WF,0,var_3068,,,,,,ER45370,,ER56475,,,,,
H11L WTR LIGHT HSWRK DIFFICULT-HD,0,var_3069,,,,,,ER44274,,ER55360,ER62482,,,,
H11L WTR LIGHT HSWRK DIFFICULT-RP,0,var_3070,,,,,,,,,,ER68547,ER74555,ER80703,ER84675
H11L WTR LIGHT HSWRK DIFFICULT-SP,0,var_3071,,,,,,,,,ER63598,ER69674,ER75682,ER80901,ER84876
H11L WTR LIGHT HSWRK DIFFICULT-WF,0,var_3072,,,,,,ER45371,,ER56476,,,,,
H11M HEALTH/PHYSICAL PROBLEM?-HD,0,var_3073,,,,,,ER44275,,ER55361,ER62483,,,,
H11M HEALTH/PHYSICAL PROBLEM?-RP,0,var_3074,,,,,,,,,,ER68548,ER74556,ER80704,ER84676
H11M HEALTH/PHYSICAL PROBLEM?-SP,0,var_3075,,,,,,,,,ER63599,ER69675,ER75683,ER80902,ER84877
H11M HEALTH/PHYSICAL PROBLEM?-WF,0,var_3076,,,,,,ER45372,,ER56477,,,,,
H12A FREQ OF HVY PHYSICAL ACTIVITY-HD,0,var_3077,,,,,,ER44276,ER49614,ER55362,ER62484,,,,
H12A FREQ OF HVY PHYSICAL ACTIVITY-RP,0,var_3078,,,,,,,,,,ER68549,ER74557,ER80705,ER84677
H12A FREQ OF HVY PHYSICAL ACTIVITY-SP,0,var_3079,,,,,,,,,ER63600,ER69676,ER75684,ER80903,ER84878
H12A FREQ OF HVY PHYSICAL ACTIVITY-WF,0,var_3080,,,,,,ER45373,ER50732,ER56478,,,,,
H12A TIME UNIT FOR HVY PHYS ACTIVITY-HD,0,var_3081,,,,,,ER44277,ER49615,ER55363,ER62485,,,,
H12A TIME UNIT FOR HVY PHYS ACTIVITY-RP,0,var_3082,,,,,,,,,,ER68550,ER74558,ER80706,ER84678
H12A TIME UNIT FOR HVY PHYS ACTIVITY-SP,0,var_3083,,,,,,,,,ER63601,ER69677,ER75685,ER80904,ER84879
H12A TIME UNIT FOR HVY PHYS ACTIVITY-WF,0,var_3084,,,,,,ER45374,ER50733,ER56479,,,,,
H12B FREQ OF LITE PHYSICAL ACTIVITY-HD,0,var_3085,,,,,,ER44278,ER49616,ER55364,ER62486,,,,
H12B FREQ OF LITE PHYSICAL ACTIVITY-RP,0,var_3086,,,,,,,,,,ER68551,ER74559,ER80707,ER84679
H12B FREQ OF LITE PHYSICAL ACTIVITY-SP,0,var_3087,,,,,,,,,ER63602,ER69678,ER75686,ER80905,ER84880
H12B FREQ OF LITE PHYSICAL ACTIVITY-WF,0,var_3088,,,,,,ER45375,ER50734,ER56480,,,,,
H12B TIME UNIT FOR LITE PHYS ACTIVITY-HD,0,var_3089,,,,,,ER44279,ER49617,ER55365,ER62487,,,,
H12B TIME UNIT FOR LITE PHYS ACTIVITY-RP,0,var_3090,,,,,,,,,,ER68552,ER74560,ER80708,ER84680
H12B TIME UNIT FOR LITE PHYS ACTIVITY-SP,0,var_3091,,,,,,,,,ER63603,ER69679,ER75687,ER80906,ER84881
H12B TIME UNIT FOR LITE PHYS ACTIVITY-WF,0,var_3092,,,,,,ER45376,ER50735,ER56481,,,,,
H12C FREQ OF STRENGTH PHYS ACTIVITY-HD,0,var_3093,,,,,,ER44280,ER49618,ER55366,ER62488,,,,
H12C FREQ OF STRENGTH PHYS ACTIVITY-RP,0,var_3094,,,,,,,,,,ER68553,ER74561,ER80709,ER84681
H12C FREQ OF STRENGTH PHYS ACTIVITY-SP,0,var_3095,,,,,,,,,ER63604,ER69680,ER75688,ER80907,ER84882
H12C FREQ OF STRENGTH PHYS ACTIVITY-WF,0,var_3096,,,,,,ER45377,ER50736,ER56482,,,,,
H12C TIME UNIT STRNGTH PHYS ACTVTY-HD,0,var_3097,,,,,,ER44281,ER49619,ER55367,ER62489,,,,
H12C TIME UNIT STRNGTH PHYS ACTVTY-RP,0,var_3098,,,,,,,,,,ER68554,ER74562,ER80710,ER84682
H12C TIME UNIT STRNGTH PHYS ACTVTY-SP,0,var_3099,,,,,,,,,ER63605,ER69681,ER75689,ER80908,ER84883
H12C TIME UNIT STRNGTH PHYS ACTVTY-WF,0,var_3100,,,,,,ER45378,ER50737,ER56483,,,,,
H13 WTR SMOKE CIGARETTES-HD,0,var_3101,,,,,,ER44282,ER49620,,ER62490,,,,
H13 WTR SMOKE CIGARETTES-RP,0,var_3102,,,,,,,,,,ER68555,ER74563,ER80711,ER84683
H13 WTR SMOKE CIGARETTES-SP,0,var_3103,,,,,,,,,ER63606,ER69682,ER75690,ER80909,ER84884
H13 WTR SMOKE CIGARETTES-WF,0,var_3104,,,,,,ER45379,ER50738,,,,,,
H14 # CIGARETTES PER DAY-HD,0,var_3105,,,,,,ER44283,ER49621,ER55369,ER62491,,,,
H14 # CIGARETTES PER DAY-RP,0,var_3106,,,,,,,,,,ER68556,ER74564,ER80712,ER84684
H14 # CIGARETTES PER DAY-SP,0,var_3107,,,,,,,,,ER63607,ER69683,ER75691,ER80910,ER84885
H14 # CIGARETTES PER DAY-WF,0,var_3108,,,,,,ER45380,ER50739,ER56485,,,,,
H15 AGE WHEN FIRST SMOKED-HD,0,var_3109,,,,,,ER44284,ER49622,ER55370,,,,,
H15 AGE WHEN FIRST SMOKED-RP,0,var_3110,,,,,,,,,,ER68557,ER74565,ER80713,ER84685
H15 AGE WHEN FIRST SMOKED-SP,0,var_3111,,,,,,,,,,ER69684,ER75692,ER80911,ER84886
H15 AGE WHEN FIRST SMOKED-WF,0,var_3112,,,,,,,,ER56486,,,,,
H15AGE WHEN FIRST SMOKED-WF,0,var_3113,,,,,,ER45381,ER50740,,,,,,
H16 WTR EVER SMOKED CIGARETTES-HD,0,var_3114,,,,,,ER44285,ER49623,ER55371,ER62493,,,,
H16 WTR EVER SMOKED CIGARETTES-RP,0,var_3115,,,,,,,,,,ER68558,ER74566,ER80714,ER84686
H16 WTR EVER SMOKED CIGARETTES-SP,0,var_3116,,,,,,,,,ER63609,ER69685,ER75693,ER80912,ER84887
H16 WTR EVER SMOKED CIGARETTES-WF,0,var_3117,,,,,,ER45382,ER50741,ER56487,,,,,
H17 # CIGARETTES PER DAY-HD,0,var_3118,,,,,,ER44286,ER49624,ER55372,ER62494,,,,
H17 # CIGARETTES PER DAY-RP,0,var_3119,,,,,,,,,,,ER74567,ER80715,ER84687
H17 # CIGARETTES PER DAY-SP,0,var_3120,,,,,,,,,ER63610,,ER75694,ER80913,ER84888
H17 # CIGARETTES PER DAY-WF,0,var_3121,,,,,,ER45383,ER50742,ER56488,,,,,
H18 AGE LAST SMOKED REGULARLY-HD,0,var_3122,,,,,,ER44287,ER49625,ER55373,ER62495,,,,
H18 AGE LAST SMOKED REGULARLY-RP,0,var_3123,,,,,,,,,,ER68560,ER74568,ER80716,ER84688
H18 AGE LAST SMOKED REGULARLY-SP,0,var_3124,,,,,,,,,ER63611,ER69687,ER75695,ER80914,ER84889
H18 AGE LAST SMOKED REGULARLY-WF,0,var_3125,,,,,,ER45384,ER50743,ER56489,,,,,
H19 AGE FIRST SMOKED REGULARLY-HD,0,var_3126,,,,,,ER44288,ER49626,ER55374,ER62496,,,,
H19 AGE FIRST SMOKED REGULARLY-RP,0,var_3127,,,,,,,,,,ER68561,,ER80717,ER84689
H19 AGE FIRST SMOKED REGULARLY-SP,0,var_3128,,,,,,,,,ER63612,ER69688,,ER80915,ER84890
H19 AGE FIRST SMOKED REGULARLY-WF,0,var_3129,,,,,,ER45385,ER50744,ER56490,,,,,
H19A WTR EVER VAPED - RP,0,var_3130,,,,,,,,,,,,ER80718,ER84690
H19A WTR EVER VAPED - SP,0,var_3131,,,,,,,,,,,,ER80916,ER84891
H19B HOW OLD WHEN FIRST VAPED - RP,0,var_3132,,,,,,,,,,,,ER80719,ER84691
H19B HOW OLD WHEN FIRST VAPED - SP,0,var_3133,,,,,,,,,,,,ER80917,ER84892
H19C HOW OFTEN VAPED 30 DAYS - RP,0,var_3134,,,,,,,,,,,,ER80720,ER84692
H19C HOW OFTEN VAPED 30 DAYS - SP,0,var_3135,,,,,,,,,,,,ER80918,ER84893
H1A WTR HLTH BETTER/WORSE-HEAD,0,var_3136,,,,,,ER44176,ER49495,ER55245,ER62367,,,,
H1A WTR HLTH BETTER/WORSE-RP,0,var_3137,,,,,,,,,,ER68421,ER74429,ER80551,ER84521
H1A WTR HLTH BETTER/WORSE-SPOUSE,0,var_3138,,,,,,,,,ER63483,ER69548,ER75556,ER80749,ER84722
H1A WTR HLTH BETTER/WORSE-WIFE,0,var_3139,,,,,,ER45273,ER50613,ER56361,,,,,
H1B WTR HEALTH BETTER-HEAD,0,var_3140,,,,,,ER44177,ER49496,ER55246,ER62368,,,,
H1B WTR HEALTH BETTER-RP,0,var_3141,,,,,,,,,,ER68422,ER74430,ER80552,ER84522
H1B WTR HEALTH BETTER-SPOUSE,0,var_3142,,,,,,,,,ER63484,ER69549,ER75557,ER80750,ER84723
H1B WTR HEALTH BETTER-WIFE,0,var_3143,,,,,,ER45274,ER50614,ER56362,,,,,
H1C WTR HEALTH WORSE-HEAD,0,var_3144,,,,,,ER44178,ER49497,ER55247,ER62369,,,,
H1C WTR HEALTH WORSE-RP,0,var_3145,,,,,,,,,,ER68423,ER74431,ER80553,ER84523
H1C WTR HEALTH WORSE-SPOUSE,0,var_3146,,,,,,,,,ER63485,ER69550,ER75558,ER80751,ER84724
H1C WTR HEALTH WORSE-WIFE,0,var_3147,,,,,,ER45275,ER50615,ER56363,,,,,
H2 WTR LIMIT TYPE/AMT WRK- HEAD,0,var_3148,,,,,,ER44179,ER49498,ER55248,ER62370,,,,
H2 WTR LIMIT TYPE/AMT WRK- REF PERSON,0,var_3149,,,,,,,,,,ER68424,ER74432,ER80580,ER84552
H2 WTR TYPE/AMT WORK LIMITED-SPOUSE,0,var_3150,,,,,,,,,ER63486,ER69551,ER75559,ER80778,ER84753
H2 WTR TYPE/AMT WORK LIMITED-WIFE,0,var_3151,,,,,,ER45276,ER50616,ER56364,,,,,
H20 WTR DRINK ALCOHOL-HEAD,0,var_3152,,,,,,ER44289,ER49627,ER55375,ER62497,,,,
H20 WTR DRINK ALCOHOL-RP,0,var_3153,,,,,,,,,,ER68562,ER74570,ER80721,ER84693
H20 WTR DRINK ALCOHOL-SPOUSE,0,var_3154,,,,,,,,,ER63613,ER69689,ER75697,ER80919,ER84894
H20 WTR DRINK ALCOHOL-WIFE,0,var_3155,,,,,,ER45386,ER50745,ER56491,,,,,
H2011A WTR DIFFICULT PREPARE MEALS-HD,0,var_3156,,,,,,,ER49602,,,,,,
H2011A WTR DIFFICULT PREPARE MEALS-WF,0,var_3157,,,,,,,ER50720,,,,,,
H2011B HEALTH/PHYSICAL PROBLEM?-HD,0,var_3158,,,,,,,ER49603,,,,,,
H2011B HEALTH/PHYSICAL PROBLEM?-WF,0,var_3159,,,,,,,ER50721,,,,,,
H2011C WTR DIFFICULT SHOPPING-HD,0,var_3160,,,,,,,ER49604,,,,,,
H2011C WTR DIFFICULT SHOPPING-WF,0,var_3161,,,,,,,ER50722,,,,,,
H2011D HEALTH/PHYSICAL PROBLEM?-HD,0,var_3162,,,,,,,ER49605,,,,,,
H2011D HEALTH/PHYSICAL PROBLEM?-WF,0,var_3163,,,,,,,ER50723,,,,,,
H2011E WTR DIFFICULT MANAGE MONEY-HD,0,var_3164,,,,,,,ER49606,,,,,,
H2011E WTR DIFFICULT MANAGE MONEY-WF,0,var_3165,,,,,,,ER50724,,,,,,
H2011F HEALTH/PHYSICAL PROBLEM?-HD,0,var_3166,,,,,,,ER49607,,,,,,
H2011F HEALTH/PHYSICAL PROBLEM?-WF,0,var_3167,,,,,,,ER50725,,,,,,
H2011G WTR TELEPHONE DIFFICULT-HD,0,var_3168,,,,,,,ER49608,,,,,,
H2011G WTR TELEPHONE DIFFICULT-WF,0,var_3169,,,,,,,ER50726,,,,,,
H2011H HEALTH/PHYSICAL PROBLEM?-HD,0,var_3170,,,,,,,ER49609,,,,,,
H2011H HEALTH/PHYSICAL PROBLEM?-WF,0,var_3171,,,,,,,ER50727,,,,,,
H2011J WTR HEAVY HSWRK DIFFICULT-HD,0,var_3172,,,,,,,ER49610,,,,,,
H2011J WTR HEAVY HSWRK DIFFICULT-WF,0,var_3173,,,,,,,ER50728,,,,,,
H2011K HEALTH/PHYSICAL PROBLEM?-HD,0,var_3174,,,,,,,ER49611,,,,,,
H2011K HEALTH/PHYSICAL PROBLEM?-WF,0,var_3175,,,,,,,ER50729,,,,,,
H2011L WTR LIGHT HSWRK DIFFICULT-HD,0,var_3176,,,,,,,ER49612,,,,,,
H2011L WTR LIGHT HSWRK DIFFICULT-WF,0,var_3177,,,,,,,ER50730,,,,,,
H2011M HEALTH/PHYSICAL PROBLEM?-HD,0,var_3178,,,,,,,ER49613,,,,,,
H2011M HEALTH/PHYSICAL PROBLEM?-WF,0,var_3179,,,,,,,ER50731,,,,,,
H2013 WTR SMOKE CIGARETTES-HD,0,var_3180,,,,,,,,ER55368,,,,,
H2013 WTR SMOKE CIGARETTES-WF,0,var_3181,,,,,,,,ER56484,,,,,
H2015 AGE WHEN FIRST SMOKED-HD,0,var_3182,,,,,,,,,ER62492,,,,
H2015 AGE WHEN FIRST SMOKED-SP,0,var_3183,,,,,,,,,ER63608,,,,
H2017 # CIGARETTES PER DAY-RP,0,var_3184,,,,,,,,,,ER68559,,,
H2017 # CIGARETTES PER DAY-SP,0,var_3185,,,,,,,,,,ER69686,,,
H2019 AGE FIRST SMOKED REGULARLY-RP,0,var_3186,,,,,,,,,,,ER74569,,
H2019 AGE FIRST SMOKED REGULARLY-SP,0,var_3187,,,,,,,,,,,ER75696,,
H2021A HOW OFTEN HAVE DRINKS-RP,0,var_3188,,,,,,,,,,,,ER80722,
H2021A HOW OFTEN HAVE DRINKS-SP,0,var_3189,,,,,,,,,,,,ER80920,
H2021B # ALCOHOLIC DRINKS PER DAY-RP,0,var_3190,,,,,,,,,,,,ER80723,
H2021B # ALCOHOLIC DRINKS PER DAY-SP,0,var_3191,,,,,,,,,,,,ER80921,
H2021C # DAYS HAD 4-5 DRINKS-RP,0,var_3192,,,,,,,,,,,,ER80724,
H2021C # DAYS HAD 4-5 DRINKS-SPOUSE,0,var_3193,,,,,,,,,,,,ER80922,
H2023 HEIGHT IN METERS--SPOUSE,0,var_3194,,,,,,,,,,,,,ER84903
H2023 HEIGHT IN METERS-RP,0,var_3195,,,,,,,,,,,,,ER84702
H2023 HEIGHT-FEET--SPOUSE,0,var_3196,,,,,,,,,,,,,ER84901
H2023 HEIGHT-FEET-RP,0,var_3197,,,,,,,,,,,,,ER84700
H2023 HEIGHT-INCHES--SPOUSE,0,var_3198,,,,,,,,,,,,,ER84902
H2023 HEIGHT-INCHES-RP,0,var_3199,,,,,,,,,,,,,ER84701
H20A WTR EVER DRANK ALCOHOL - RP,0,var_3200,,,,,,,,,,,,,ER84694
H20A WTR EVER DRANK ALCOHOL - SP,0,var_3201,,,,,,,,,,,,,ER84895
H21A HOW OFTEN HAVE DRINKS-HD,0,var_3202,,,,,,ER44290,ER49628,ER55376,ER62498,,,,
H21A HOW OFTEN HAVE DRINKS-RP,0,var_3203,,,,,,,,,,ER68563,ER74571,,ER84695
H21A HOW OFTEN HAVE DRINKS-SP,0,var_3204,,,,,,,,,ER63614,ER69690,ER75698,,ER84896
H21A HOW OFTEN HAVE DRINKS-WF,0,var_3205,,,,,,ER45387,ER50746,ER56492,,,,,
H21B # ALCOHOLIC DRINKS PER DAY-HD,0,var_3206,,,,,,ER44291,ER49629,ER55377,ER62499,,,,
H21B # ALCOHOLIC DRINKS PER DAY-RP,0,var_3207,,,,,,,,,,ER68564,ER74572,,ER84696
H21B # ALCOHOLIC DRINKS PER DAY-SP,0,var_3208,,,,,,,,,ER63615,ER69691,ER75699,,ER84897
H21B # ALCOHOLIC DRINKS PER DAY-WF,0,var_3209,,,,,,ER45388,ER50747,ER56493,,,,,
H21C # DAYS HAD 4-5 DRINKS-HEAD,0,var_3210,,,,,,ER44292,ER49630,ER55378,ER62500,,,,
H21C # DAYS HAD 4-5 DRINKS-RP,0,var_3211,,,,,,,,,,ER68565,ER74573,,ER84697
H21C # DAYS HAD 4-5 DRINKS-SPOUSE,0,var_3212,,,,,,,,,ER63616,ER69692,ER75700,,ER84898
H21C # DAYS HAD 4-5 DRINKS-WIFE,0,var_3213,,,,,,ER45389,ER50748,ER56494,,,,,
H22 WEIGHT IN KILOS--SPOUSE,0,var_3214,,,,,,,,,ER63618,ER69694,ER75702,ER80924,ER84900
H22 WEIGHT IN KILOS--WIFE,0,var_3215,,,,,,,ER50750,ER56496,,,,,
H22 WEIGHT IN KILOS-HEAD,0,var_3216,,,,,,,ER49632,ER55380,ER62502,,,,
H22 WEIGHT IN KILOS-RP,0,var_3217,,,,,,,,,,ER68567,ER74575,ER80726,ER84699
H22 WEIGHT IN POUNDS--SPOUSE,0,var_3218,,,,,,,,,ER63617,ER69693,ER75701,ER80923,ER84899
H22 WEIGHT IN POUNDS--WIFE,0,var_3219,,,,,,,ER50749,ER56495,,,,,
H22 WEIGHT IN POUNDS-HEAD,0,var_3220,,,,,,,ER49631,ER55379,ER62501,,,,
H22 WEIGHT IN POUNDS-RP,0,var_3221,,,,,,,,,,ER68566,ER74574,ER80725,ER84698
H22 WEIGHT--WIFE,0,var_3222,,,,,,ER45390,,,,,,,
H22 WEIGHT-HEAD,0,var_3223,,,,,,ER44293,,,,,,,
H23 HEIGHT IN METERS--SPOUSE,0,var_3224,,,,,,,,,ER63621,ER69697,ER75705,ER80927,
H23 HEIGHT IN METERS--WIFE,0,var_3225,,,,,,,ER50753,ER56499,,,,,
H23 HEIGHT IN METERS-HEAD,0,var_3226,,,,,,,ER49635,ER55383,ER62505,,,,
H23 HEIGHT IN METERS-RP,0,var_3227,,,,,,,,,,ER68570,ER74578,ER80729,
H23 HEIGHT-FEET--SPOUSE,0,var_3228,,,,,,,,,ER63619,ER69695,ER75703,ER80925,
H23 HEIGHT-FEET--WIFE,0,var_3229,,,,,,ER45391,ER50751,ER56497,,,,,
H23 HEIGHT-FEET-HEAD,0,var_3230,,,,,,ER44294,ER49633,ER55381,ER62503,,,,
H23 HEIGHT-FEET-RP,0,var_3231,,,,,,,,,,ER68568,ER74576,ER80727,
H23 HEIGHT-INCHES--SPOUSE,0,var_3232,,,,,,,,,ER63620,ER69696,ER75704,ER80926,
H23 HEIGHT-INCHES--WIFE,0,var_3233,,,,,,ER45392,ER50752,ER56498,,,,,
H23 HEIGHT-INCHES-HEAD,0,var_3234,,,,,,ER44295,ER49634,ER55382,ER62504,,,,
H23 HEIGHT-INCHES-RP,0,var_3235,,,,,,,,,,ER68569,ER74577,ER80728,
H24 WTR SPOUSE IN FU NOW,0,var_3236,,,,,,,,,ER63481,ER69546,ER75554,ER80747,ER84720
H24 WTR WIFE IN FU NOW,0,var_3237,,,,,,ER45271,ER50611,ER56359,,,,,
H25H HEALTH STATUS B4 AGE,0,var_3238,,,,,,,,,,ER68571,,,
H25H HEALTH STATUS B4 AGE 17--HD,0,var_3239,,,,,,ER44296,ER49636,ER55384,ER62506,,,,
H25H HEALTH STATUS B4 AGE 17--RP,0,var_3240,,,,,,,,,,,ER74579,ER80730,ER84703
H25W HEALTH STATUS B4 AGE,0,var_3241,,,,,,,,,,ER69698,,,
H25W HEALTH STATUS B4 AGE 17--SP,0,var_3242,,,,,,,,,ER63622,,ER75706,ER80928,ER84904
H25W HEALTH STATUS B4 AGE 17--WF,0,var_3243,,,,,,ER45393,ER50754,ER56500,,,,,
H26H WTR MISSED MO OR MORE SCHOOL--HD,0,var_3244,,,,,,ER44297,ER49637,ER55385,ER62507,,,,
